s_no,month,asset_no,country,portfolio,remarks
33,25-May,All Sites,All Countries,All Portfolio,"Japan: 
1. PCS-04 tripped due to low insulation resistance on 11th May 2025. Gen Loss:  2 MWh Revenue Loss:$ 480.

2. PCS-03 tripped on low insulation resistance on 11th & 17th May 2025. Gen Loss:2.5 MWh and Revenue Loss: $ 629.

3. PCS-06 tripped on low insulation resistance on 25th, 26th,29th, 30th and 31st May 2025. Gen Loss:71.40 MWh and Revenue Loss: $ 17,738.

4.Curtailment Details: 
     a) Budgeted: 11.91% (401 MWh)
     b) Actual: 20.18% (680 MWh) 
     c) Curtailment Loss: 8.27 % (278 MWh)

5. Module related losses due to typhoon damage. Gen Loss: 404  MWh and Revenue Loss: $100,573 .

6. PCS-01, JB-01 to JB-07, string related losses due to typhoon damage: Gen Loss  182 MWh and Revenue Loss: $45,221 .


Korea-Blackwood: 

1. Asset No.15:  
a) 104.475 kWp capacity of faulty solar modules are isolated due to insulation failure, crack & Hotspot. Damaged modules need to be replaced to resume the operational capacity of the plant to the designed capacity. May-25 Generation loss: 18 MWh and Revenue Loss: $ 1379 . 

b) Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation. May-25 Gen Loss:  7 MWh & Revenue Loss:  $ 543. 

3. May-25 , Asset No: 11,12,13,21,24,26,39,41 & 42: As per KEPCO requirement, 100% curtailment implemented at multiple time slots. Gen Loss: 174 MWh and Gen Loss: $ 3,588. 

4. May-25, Asset No: 36,31,4,5,6,9,11,14,19,20,21,30,35,2 & 8 string failure and inverter failure caused Gen Loss: 104.37MWh and Revenue Loss: $ 8386.14

5. Asset No: 1, Site Name: Songpyeong TI Solar Power, 194.4 kWp , is removed from the list, as per the information received from PEK. 



Korea-Iceberg: 

1. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 04th & 07th May 2025.  Gen Loss: -464 MWh and Revenue Loss: $ 26,868.

2. Inverters are tripped due to Ground Fault, Instantaneous fault and No Grid etc., Gen Loss: 11 MWh and Revenue Loss: $ 614.



Korea-Sroof:

1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

2, Sung jin: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

B) Weather sensors are installed & configured on 29th May 2025. 

IC Approved & Expected budget for both sites considered from COD. 



Taiwan:

1. Site Monitoring Website credential are received on 22nd April 2025. 

2. As built Drawings, PV System Report and other necessary documents are requested for further analysis 

3. Breakdown losses are calculated based on comparison of same capacity healthy inverters. "
34,25-May,KR_BW_02,Korea,Korea-Blackwood ,"1. Asset No.15:  
a) 104.475 kWp capacity of faulty solar modules are isolated due to insulation failure, crack & Hotspot. Damaged modules need to be replaced to resume the operational capacity of the plant to the designed capacity. May-25 Generation loss: 18 MWh and Revenue Loss: $ 1379 . 

b) Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation. May-25 Gen Loss:  7 MWh & Revenue Loss:  $ 543. 

3. May-25 , Asset No: 11,12,13,21,24,26,39,41 & 42: As per KEPCO requirement, 100% curtailment implemented at multiple time slots. Gen Loss: 174 MWh and Gen Loss: $ 13,683. 

4. May-25, Asset No: 36,31,4,5,6,9,11,14,19,20,21,30,35,2& 8 , string failure and inverter failure caused Gen Loss: 104.37 MWh and Revenue Loss: $ 8386.14

5. Asset No: 26 & 27 sites are not available in the monitoring portal. So, data is awaited from site. 

6. Asset No: 2,19,28,30 & 34 breakdown & communication issue details are awaited from site. 

7. Asset No: 1, Site Name: Songpyeong TI Solar Power, 194.4 kWp , is removed from the list, as per the information received from PEK. "
35,25-May,KR_IB_49,Korea,Korea-Iceberg,"1. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 04th & 07th  May 2025.  Gen Loss: -464 MWh and Revenue Loss: $ 26,868.

2. Inverters are tripped due to Ground Fault, Instantaneous fault and No Grid etc., Gen Loss: 11 MWh and Revenue Loss: $ 614."
36,25-May,JP-MINA,Japan ,JP Minamata,"1. PCS-04 tripped due to low insulation resistance on 11th May 2025. Gen Loss:  2 MWh Revenue Loss:$ 480.

2. PCS-03 tripped on low insulation resistance on 11th & 17th May 2025. Gen Loss:2.5 MWh and Revenue Loss: $ 629.

3. PCS-06 tripped on low insulation resistance on 25th, 26th,29th, 30th and 31st May 2025. Gen Loss:71.40 MWh and Revenue Loss: $ 17,738.

4.Curtailment Details: 
     a) Budgeted: 11.91% (401 MWh)
     b) Actual: 20.18% (680 MWh) 
     c) Curtailment Loss: 8.27 % (278 MWh)

5. Module related losses due to typhoon damage. Gen Loss: 404  MWh and Revenue Loss: $100,573 .

6. PCS-01, JB-01 to JB-07, string related losses due to typhoon damage: Gen Loss  182 MWh and Revenue Loss: $45,221 ."
37,25-May,SG_DG_ONS_00055,Singapore ,SG Matco Asia,Nil
38,25-May,TW1,Taiwan ,TW-Yunlin ,"1. Site Monitoring Website credential are received on 22nd April 2025. 

2. The IC Approved budget is based on the DC capacity of 29.04 MWp, while the Expected Budget is calculated using the as-built DC capacity of 24.817 MWp. This discrepancy accounts for the significant difference observed between the two budgets. "
39,25-May,KR_DG_ONS_00028,Korea,Korean-Sroof,"1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

2, Sung jin: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

B) Weather sensors are installed & configured on 29th May 2025. 

IC Approved & Expected budget for both sites considered from COD. "
44,25-Jun,JP-MINA,Japan ,JP Minamata,"1. PCS-03 tripped due to low insulation resistance on 2nd, 3rd, 10th, 14th, 22nd, 23rd and 29th June 2025. Gen Loss: 4.428 MWh Revenue Loss:$ 1,100.07

2. PCS-04 tripped on low insulation resistance on 3rd, 23rd and 28th June  2025. Gen Loss: 2.807 MWh and Revenue Loss: $ 697.33 .

3. PCS-06 tripped on low insulation resistance on 1st -5th and 14th of June  2025. Gen Loss: 29.307 MWh and Revenue Loss: $ 7,279.95 .

4.Curtailment Details: 
     a) Budgeted: 19.9% (465 MWh)
     b) Actual: 3.82% (89 MWh) 
     c) Curtailment gain : 16.10% (376 MWh) (Actual curtailment is lesser than the budgeted curtailment)

5. Module related losses due to typhoon damage. Gen Loss: 370.35 MWh and Revenue Loss: $91,995.

6. PCS-01, JB-01 to JB-07, string related losses due to typhoon damage: Gen Loss 164.16 MWh and Revenue Loss: $ 40,778  ."
45,25-Jun,All Sites,All Countries,All Portfolio,"1. Japan: 
1. PCS-03 tripped due to low insulation resistance on 2nd, 3rd, 10th, 14th, 22nd, 23rd and 29th June 2025. Gen Loss: 4.428 MWh Revenue Loss:$ 1,100.07

2. PCS-04 tripped on low insulation resistance on 3rd, 23rd and 28th June  2025. Gen Loss: 2.807 MWh and Revenue Loss: $ 697.33 .

3. PCS-06 tripped on low insulation resistance on 1st -5th and 14th of June  2025. Gen Loss: 29.307 MWh and Revenue Loss: $ 7,279.95 .

4.Curtailment Details: 
     a) Budgeted: 19.9% (465.77MWh)
     b) Actual: 3.8% (89.286MWh) 
     c) Curtailment gain : 16.1% (376.484 MWh) (Actual curtailment is lesser than the budgeted curtailment)

5. Module related losses due to typhoon damage. Gen Loss: 370.352  MWh and Revenue Loss: $91,995.49.

6. PCS-01, JB-01 to JB-07, string related losses due to typhoon damage: Gen Loss 164.16 MWh and Revenue Loss: $ 40,778  .

2. Korea-blackwood: 

1. Asset No.15:  
a) 104.475 kWp capacity of faulty solar modules are isolated due to insulation failure, crack & Hotspot. Damaged modules need to be replaced to resume the operational capacity of the plant to the designed capacity. June-25 Generation loss: 19.25 MWh and Revenue Loss: $ 1509.39 . 

c) The inverters have been continuously shutting down due to defective module insulation resistance on following dates 14th to 17th June and 22nd to 30th June 2025, Gen Loss: 4.96 MWh and Revenue Loss: $ 389.02

b) Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation. June-25 Gen Loss: 7.40 MWh & Revenue Loss:  $ 579.54 . 

4. June-25 , Asset No: 19: As per KEPCO requirement, Grid outage due to blaclout. Gen Loss: 11.89 MWh and Gen Loss: $932.69 . 

5. June-25, Asset No: 4,5,6,7,8,9,11,19,20,21,24,30 & 35, string failure and inverter failure caused Gen Loss:  43.81 MWh and Revenue Loss: $ 3560.01 .

3. Korea-Iceberg: 

1. Inverters are tripped due to Ground Fault and PDP Pro., Gen Loss: 5.75 MWh and Revenue Loss: $ 333.26.

4. Korea-Sroof: 

1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 
b) PV System shutdown due to scheduled equipement inspection on 4th,5th,10th and 11th June 2025  Gen Loss: 4.8 MWh & Revenue Loss:  $547.40

2, Sung jin: 

Nil 

4. Singapore: 

Nil 

5. Taiwan: 

1. Site Monitoring Website credential are received on 22nd April 2025. 

2. As built Drawings, PV System Report and other necessary documents are requested for further analysis 











"
46,25-Jun,KR_BW_02,Korea,Korea-Blackwood ,"1. Asset No.15:  
a) 104.475 kWp capacity of faulty solar modules are isolated due to insulation failure, crack & Hotspot. Damaged modules need to be replaced to resume the operational capacity of the plant to the designed capacity. June-25 Generation loss: 19.25 MWh and Revenue Loss: $ 1509.39 . 

c) The inverters have been continuously shutting down due to defective module insulation resistance on following dates 14th to 17th June and 22nd to 30th June 2025, Gen Loss: 4.96 MWh and Revenue Loss: $ 389.02

b) Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation. June-25 Gen Loss: 7.40 MWh & Revenue Loss:  $ 579.54 . 

4. June-25 , Asset No: 19: As per KEPCO requirement, Grid outage due to blaclout. Gen Loss: 11.89 MWh and Gen Loss: $932.69 . 

5. June-25, Asset No: 4,5,6,7,8,9,11,19,20,21,24,30 & 35, string failure and inverter failure caused Gen Loss:  43.81 MWh and Revenue Loss: $ 3560.01 ."
47,25-Jun,SG_DG_ONS_00055,Singapore ,SG Matco Asia,Nil
48,29-Jun,TW1,Taiwan ,TW-Yunlin ,"1. Site Monitoring Website credential are received on 22nd April 2025. 

2. The IC approved budget has been calculated based on a DC capacity of 29.20 MWp as projected by PVsyst, whereas the actual as-built DC capacity from January 2025 to June 2025 is 24.82 MWp, thereby providing a basis for direct comparison over the same period."
49,30-Jun,KR_DG_ONS_00028,Korea,Korean-Sroof,"1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 
b) PV System shutdown due to scheduled equipement inspection on 4th,5th,10th and 11th June 2025  Gen Loss: 4.8 MWh & Revenue Loss:  $547.40

2, Sung jin: 

a) Site is commissioned on 17th May 2025. HOTO is in process. "
50,25-Jun,KR_IB_49,Korea,Korea-Iceberg,"
1. Inverters are tripped due to Ground Fault and PDP Pro., Gen Loss: 5.75 MWh and Revenue Loss: $ 333.26."
